Label,Ed (eV),Z,m (u),r (pm),rho (g/cm^3),E_coh (eV/atom),E_ioniz (eV),alpha (1/K),R (Ohm*m),T_melt (K),E (GPa),CN,l_bond (A)
Ag,20.0,47,107.8682,165,10.49,2.95,7.576281119,1.89e-05,1.6e-08,1234.93,83.0,12,2.9
Al,14.0,13,26.9815384,118,2.7,3.39,5.985365726,2.31e-05,2.6e-08,933.47,70.0,12,2.86
Au,36.0,79,196.96657,174,19.3,3.81,9.225236421,1.42e-05,2.2e-08,1337.33,78.0,12,2.95
Be,21.0,4,9.0121831,112,1.848,3.32,9.322660556,1.13e-05,4e-08,1560.15,287.0,12,2.24
C1,70.0,6,12.011,67,3.51,7.84,11.26077898,7e-07,1e+18,3873.15,1050.0,4,1.54
C2,22.0,6,12.011,67,2.07,7.41,11.26077898,4e-07,7.599999999999999e-06,3873.15,15.85,3,1.42
Co,40.0,27,58.933194,152,8.9,4.39,7.880990647,1.3e-05,6e-08,1768.15,209.0,12,2.47
Cr,40.0,24,51.9961,166,7.19,4.1,6.766831659,4.9e-06,1.3e-07,2180.15,279.0,8,2.57
Cu,18.0,29,63.546,145,8.96,3.49,7.726563029,1.65e-05,1.7e-08,1357.77,130.0,12,2.53
Fe,18.0,26,55.845,156,7.874,4.28,7.902755613,1.18e-05,9.7e-08,1811.15,211.0,8,2.48
Mn,40.0,25,54.938043,161,7.47,2.92,7.434290624,2.17e-05,1.6e-06,1519.15,198.0,16,2.84
Mo,38.0,42,95.95,190,10.28,6.82,7.092269726,4.8e-06,5e-08,2896.15,329.0,8,2.74
Nb,20.0,41,92.90637,198,8.57,7.57,6.758540243,7.3e-06,1.5e-07,2750.15,105.0,8,2.87
Ni,38.0,28,58.6934,149,8.908,4.44,7.639503164,1.34e-05,7e-08,1728.15,200.0,12,2.46
Pb,25.0,82,207.2,154,11.34,2.03,7.416671366,2.89e-05,2.1e-07,600.61,16.0,12,3.53
Si,11.0,14,28.085,111,2.33,4.63,8.151498085,2.6e-06,0.001,1687.15,47.0,12,2.7
Ta,60.0,73,180.94788,200,16.65,8.1,7.887209208,6.3e-06,1.3e-07,3290.15,186.0,8,2.87
Ti,12.0,22,47.867,176,4.507,4.85,6.82798085,8.6e-06,4e-07,1941.15,116.0,14,2.99
U1,35.6,92,238.02891,240,19.05,5.55,6.193687547,1.39e-05,2.8e-07,1408.15,208.0,8,2.9
U2,66.3,92,238.02891,240,21.15,5.55,6.193687547,1.39e-05,2.8e-07,1408.15,208.0,8,2.9
V,12.0,23,50.9415,171,6.11,5.31,6.746103119,8.4e-06,2e-07,2183.15,128.0,8,2.58
W,36.0,74,183.84,193,19.25,8.9,7.980487635,4.5e-06,5e-08,3695.15,411.0,8,2.75
Zr,16.0,40,91.224,206,6.511,6.25,6.634169007,5.7e-06,4.2e-07,2128.15,68.0,12,3.22
