Material,PKA,Reference,Measurement,Phase,Ed (eV),PKA_Z,PKA_r (A),PKA_m (u),PKA_Stochiometry,PKA_CN,PKA_l (A),Density (g/cm^3),T (K)
Ag,Ag,Lucasson_1962,RM,fcc,28,47,1.72,107.8682,1,12,2.9,10.49,20
Ag,Ag,Roberts_1966,RM,fcc,24,47,1.72,107.8682,1,12,2.9,10.49,7
Ag,Ag,Roberts_1966,RM,fcc,24,47,1.72,107.8682,1,12,2.9,10.49,75
Ag,Ag,Corbett_1959,RM,fcc,30,47,1.72,107.8682,1,12,2.9,10.49,10
Ag,Ag,Ogilvie_1969,HVEM,fcc,19.16666667,47,1.72,107.8682,1,12,2.9,10.49,NR
Ag,Ag,Vadja_1977,AE,fcc,27,47,1.72,107.8682,1,12,2.9,10.49,30
Ag,Ag,Yang_2021,AIMD,fcc,24,47,1.72,107.8682,1,12,2.9,10.49,10
Ag,Ag,Yang_2021,MD,fcc,20,47,1.72,107.8682,1,12,2.9,10.49,10
Al,Al,Iseler_1966,RM,fcc,16,13,1.84,26.9815,1,12,2.86,2.7,4.2
Al,Al,Lucasson_1962,RM,fcc,32,13,1.84,26.9815,1,12,2.86,2.7,20
Al,Al,Neely_1966,RM,fcc,19,13,1.84,26.9815,1,12,2.86,2.7,8
Al,Al,Simpson_1969,RM,fcc,16,13,1.84,26.9815,1,12,2.86,2.7,4.2
Al,Al,Pruitt_1971,AE,fcc,16,13,1.84,26.9815,1,12,2.86,2.7,10
Al,Al,Gao_1993,MD,fcc,17,13,1.84,26.9815,1,12,2.86,2.7,0
Al,Al,Yang_2021,AIMD,fcc,16,13,1.84,26.9815,1,12,2.86,2.7,10
Al,Al,Yang_2021,MD,fcc,14,13,1.84,26.9815,1,12,2.86,2.7,10
Al2O3,O,Williford_1988,MD,alpha,43.3,8,0.48,15.999,0.6,4,1.9141,3.98,NR
Al2O3,Al,Williford_1988,MD,alpha,39.5,13,1.43,26.9815,0.4,6,1.9141,3.98,NR
Al2O3,O,Pells_1983,HVEM,alpha,76,8,0.48,15.999,0.6,4,1.9141,3.98,293
Al2O3,Al,Pells_1983,HVEM,alpha,18,13,1.43,26.9815,0.4,6,1.9141,3.98,293
Al2O3,O,Arnold_1960,OAL,alpha,90,8,0.48,15.999,0.6,4,1.9141,3.98,77
Al2O3,Al,Arnold_1960,OAL,alpha,50,13,1.43,26.9815,0.4,6,1.9141,3.98,77
Al2O3,O,Pells_1979,HVEM,alpha,75,8,0.48,15.999,0.6,4,1.9141,3.98,NR
Al2O3,Al,Pells_1979,HVEM,alpha,18,13,1.43,26.9815,0.4,6,1.9141,3.98,NR
Al2O3,O,Compton_1961,OAL,alpha,70,8,0.48,15.999,0.6,4,1.9141,3.98,77
Al2O3,Al,Compton_1961,OAL,alpha,40,13,1.43,26.9815,0.4,6,1.9141,3.98,77
Al2O3,O,Das_1983,HVEM,alpha,47,8,0.48,15.999,0.6,4,1.9141,3.98,293
Al2O3,Al,Das_1983,HVEM,alpha,28,13,1.43,26.9815,0.4,6,1.9141,3.98,293
Al2O3,O,Yuan_2017,AIMD,alpha,38,8,0.48,15.999,0.6,4,1.9141,3.52,293
Al2O3,Al,Yuan_2017,AIMD,alpha,91,13,1.43,26.9815,0.4,6,1.9141,3.52,293
Al2O3,O,Caufield,luminiscense,alpha,51,13,1.43,26.9815,0.4,6,1.9141,3.98,NR
Al2O3_2,O,Wang_2019,AIMD,theta,14,8,0.48,15.999,0.6,3,1.85918,3.867636319,293
AlAs,Al,Sayed_1995,MD,zincblende,18.6,13,1.43,26.9815,0.5,4,2.46,3.7,0
AlAs,As,Sayed_1995,MD,zincblende,16.9,33,1.14,74.9216,0.5,4,2.46,3.7,0
AlAs,Al,Jiang_2018,AIMD,zincblende,26,13,1.43,26.9815,0.5,4,2.46,3.7,NR
AlAs,As,Jiang_2018,AIMD,zincblende,18,33,1.14,74.9216,0.5,4,2.46,3.7,NR
AlN,N,Xi_2018,AIMD,wurtzite,39,7,0.56,14.0067,0.5,4,1.9,3.2,0
AlN,Al,Xi_2018,AIMD,wurtzite,94,13,1.84,26.9815,0.5,4,1.9,3.2,0
Au,Au,Bauer_1964,RM,cubic,34.5,79,1.74,196.96657,1,12,2.95,19.3,10
