label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Al2O3_2_O,14.0,8,3,0.6,1.85918,3.867636319,15.999,48
Al2O3_Al,40.642857142857146,13,6,0.4,1.9141,3.98,26.9815384,118
Al2O3_O,61.2875,8,4,0.6,1.9141,3.98,15.999,48
AlN_Al,94.0,13,4,0.5,1.9,3.2,26.9815384,118
AlN_N,39.0,7,4,0.5,1.9,3.2,14.007,56
BN_B,23.5375,5,3,0.5,1.45,1.96,10.81,87
BN_N,36.8825,7,3,0.5,1.45,1.96,14.007,56
BaTiO3_Ba,64.0,56,12,0.2,2.83,6.02,137.327,253
BaTiO3_O,42.5,8,6,0.6,2.553333333,6.02,15.999,48
BaTiO3_Ti,97.0,22,6,0.2,2.0,6.02,47.867,176
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_Ca,0.7,20,1,0.21,2.264,3.32,40.078,194
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_F,0.3,9,1,0.05,2.264,3.32,18.99840316,42
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_Nd,1.1,60,1,0.01,2.264,3.32,144.242,206
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_O,0.9,8,1,0.57,2.264,3.32,15.999,48
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_P,2.6,15,4,0.12,2.264,3.32,30.973762,98
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_Pu,1.2,94,1,0.01,2.264,3.32,244.0,243
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_Si,3.7,14,4,0.02,2.264,3.32,28.085,111
CaF2_Ca,23.0,20,8,0.5,2.39,3.09,40.078,194
CaF2_F,10.0,9,4,0.5,2.39,3.09,18.99840316,42
CaO_O,58.0,8,6,0.5,2.4,3.35,15.999,48
CaTiO3_2_O,45.0,8,6,0.6,2.48,3.84,15.999,48
CaTiO3_Ca,82.0,20,8,0.2,2.51,4.03,40.078,194
CaTiO3_Ti,69.0,22,6,0.2,1.96,4.03,47.867,176
CaZrO3_Ca,21.0,20,12,0.2,2.94,4.14,40.078,194
CaZrO3_O,53.0,8,6,0.6,2.653333333,4.14,15.999,48
CaZrO3_Zr,9.3,40,6,0.2,2.08,4.14,91.224,206
CaZrTi2O7_2_Ca,25.0,20,8,0.090909091,2.43,4.4346,40.078,194
CaZrTi2O7_2_O,15.0,8,4,0.636363636,2.18,4.4346,15.999,48
CaZrTi2O7_2_Ti,43.0,22,6,0.181818182,1.95,4.4346,47.867,176
CaZrTi2O7_2_Zr,48.0,40,7,0.090909091,2.16,4.4346,91.224,206
CaZrTi2O7_Ca,18.0,20,8,0.090909091,2.515,4.3,40.078,194
CaZrTi2O7_O,45.0,8,4,0.636363636,2.238333333,4.3,15.999,48
CaZrTi2O7_Ti,15.0,22,6,0.181818182,2.0,4.3,47.867,176
CaZrTi2O7_Zr,7.8,40,7,0.090909091,2.2,4.3,91.224,206
CeO2_Ce,53.21,58,8,0.33,2.37,6.99,140.116,235
CeO2_O,29.39,8,4,0.67,2.37,6.99,15.999,48
Er2O3_Er,71.5,68,6,0.4,2.25,8.89,167.259,226
Er2O3_O,86.67,8,4,0.6,2.25,8.89,15.999,48
Ga2O3_Ga,28.0,31,5,0.4,2.01,5.89,69.723,136
Ga2O3_O,14.0,8,4,0.6,2.01,5.89,15.999,48
Gd2Ti2O7_Gd,70.0,64,8,0.18,2.44,6.56,157.25,233
Gd2Ti2O7_O,41.166666666666664,8,4,0.64,2.24,6.56,15.999,48
Gd2Ti2O7_Ti,205.0,22,6,0.18,1.97,6.56,47.867,176
Gd2Zr2O7_Gd,61.0,64,8,0.18,2.48,6.84,157.25,233
Gd2Zr2O7_O,37.0,8,4,0.64,2.32,6.84,15.999,48
Gd2Zr2O7_Zr,94.33333333333333,40,6,0.18,2.09,6.84,91.224,206
GdBa2Cu3O7_Gd,150.0,64,8,0.08,2.44,6.78,157.25,233
HfO2_O,14.0,8,4,0.67,2.14,10.63,15.999,48
La2Zr2O7_La,79.2,57,8,0.181818182,2.565,6.02,138.90547,240
La2Zr2O7_O,48.166666665,8,4,0.636363636,2.45125,6.02,15.999,48
La2Zr2O7_Zr,98.1,40,6,0.181818182,2.11,6.02,91.224,206
LaPO4_La,56.0,57,9,0.17,2.64,5.07,138.90547,240
LaPO4_O,8.0,8,4,0.66,2.1,5.07,15.999,48
LaPO4_P,75.0,15,4,0.17,1.54,5.07,30.973762,98
Li2TiO3_Li,12.0,3,6,0.3,2.13,3.46,6.94,167
Li2TiO3_O,58.7,8,6,0.5,2.04,3.46,15.999,48
Li2TiO3_Ti,31.3,22,6,0.2,1.96,3.46,47.867,176
LiAlO2_Al,79.0,13,6,0.25,1.91,3.44,26.9815384,118
LiAlO2_Li,28.0,3,6,0.25,2.09,3.44,6.94,167
LiAlO2_O,52.0,8,6,0.5,2.0,3.44,15.999,48
LiF_Li,1.64,3,6,0.5,2.04,2.53,6.94,167
LiFe5O8_Fe,31.6,26,5,0.36,2.0,4.5,55.845,156
LiFe5O8_Li,38.9,3,6,0.07,2.13,4.5,6.94,167
LiFe5O8_O,34.6,8,4,0.57,2.07,4.5,15.999,48
LiNbO3_O,53.0,8,3,0.6,2.1,4.39,15.999,48
