label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Cu3Au_Au,18.0,79,12,0.25,2.64,12.35,196.96657,174
Cu3Au_Cu,25.5,29,12,0.75,2.64,12.35,63.546,145
CuAu_Au,20.0,79,8,0.5,2.7,14.86,196.96657,174
CuAu_Cu,35.65,29,8,0.5,2.7,14.86,63.546,145
CuTi_Cu,47.0,29,9,0.5,2.6,6.55,63.546,145
CuTi_Ti,78.0,22,5,0.5,2.6,6.55,47.867,176
Fe0.79Cr0.21_Cr,31.0,24,12,0.21,2.57,7.85,51.9961,166
Fe0.79Cr0.21_Fe,31.0,26,12,0.79,2.43,7.85,55.845,156
Fe0.82Cr0.18_Cr,31.0,24,12,0.18,2.57,7.85,51.9961,166
Fe0.82Cr0.18_Fe,31.0,26,12,0.82,2.43,7.85,55.845,156
Fe0.85Cr0.15_Cr,28.0,24,12,0.15,2.57,7.85,51.9961,166
Fe0.85Cr0.15_Fe,23.0,26,12,0.94,2.43,7.85,55.845,156
Fe0.88Cr0.12_Cr,30.0,24,12,0.12,2.57,7.85,51.9961,166
Fe0.88Cr0.12_Fe,30.0,26,12,0.88,2.43,7.85,55.845,156
Fe0.91Cr0.09_Cr,33.0,24,12,0.09,2.57,7.85,51.9961,166
Fe0.91Cr0.09_Fe,32.0,26,12,0.91,2.43,7.85,55.845,156
Fe0.94Cr0.06_Cr,30.0,24,12,0.06,2.57,7.85,51.9961,166
Fe0.94Cr0.06_Fe,29.0,26,12,0.94,2.43,7.85,55.845,156
Fe0.97Cr0.03_Cr,32.0,24,12,0.03,2.57,7.85,51.9961,166
Fe0.97Cr0.03_Fe,32.0,26,12,0.97,2.43,7.85,55.845,156
Fe3B_Fe,22.0,26,3,0.75,2.25,7.54,55.845,156
FeCr_Cr,18.0,24,12,0.5,2.57,7.85,51.9961,166
FeCr_Fe,17.0,26,12,0.5,2.43,7.85,55.845,156
FeCu_Cu,39.4,29,8,0.5,2.485,8.38,63.546,145
Ni3Al_Al,48.8,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Ni,34.746,28,12,0.75,2.49,7.71,58.6934,149
NiAl10_Al,22.0,13,12,0.1,2.46,9.29,26.9815384,118
NiAl10_Ni,24.0,28,12,0.9,2.46,9.29,58.6934,149
NiAl6_Al,22.0,13,12,0.06,2.46,9.29,26.9815384,118
NiAl6_Ni,23.0,28,12,0.94,2.46,9.29,58.6934,149
NiCo_Co,38.0,27,8,0.5,2.43,8.88,58.933194,152
NiCo_Ni,35.67,28,8,0.5,2.43,8.88,58.6934,149
Ta0.70W0.30_Ta,68.0,73,4,0.7,2.78,17.99,180.94788,200
Ta0.75W0.25_Ta,72.0,73,4,0.75,2.78,17.99,180.94788,200
Ta0.80W0.20_Ta,76.0,73,4,0.8,2.78,17.99,180.94788,200
Ta0.85W0.15_Ta,70.0,73,4,0.85,2.78,17.99,180.94788,200
Ta0.90W0.10_Ta,65.0,73,4,0.9,2.78,17.99,180.94788,200
Ta0.95W0.05_Ta,50.0,73,4,0.95,2.78,17.99,180.94788,200
TaS2_S,14.0,16,3,0.67,2.47,6.66,32.06,88
TaS3_Ta,16.0,73,8,0.25,2.53,5.88,180.94788,200
TiAl_Al,34.08,13,8,0.5,2.75,3.87,26.9815384,118
TiAl_Ti,27.5,22,8,0.5,2.75,3.87,47.867,176
UAl3_Al,41.0,13,12,0.75,3.03,6.76,26.9815384,118
UAl3_U,20.0,92,12,0.25,3.03,6.76,238.02891,240
V0.8Cr0.1Ti0.1_V,28.0,23,6,0.8,2.6,6.2,50.9415,171
V0.9Cr0.05Ti0.05_V,38.0,23,6,0.9,2.6,6.2,50.9415,171
V0.9Cr0.1_V,30.0,23,8,0.9,2.51,7.01,50.9415,171
V0.9Ti0.1_V,30.0,23,8,0.9,2.7,5.39,50.9415,171
