label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Ag_Ag,25.36111111166667,47,12,1.0,2.9,10.49,107.8682,165
Al2O3_Al,30.8,13,6,0.4,1.9141,3.98,26.9815384,118
Al2O3_O,68.16666666666667,8,4,0.6,1.9141,3.98,15.999,48
Al_Al,19.8,13,12,1.0,2.86,2.7,26.9815384,118
Au_Au,27.335,79,12,1.0,2.95,19.3,196.96657,174
BN_B,28.795,5,3,0.5,1.45,1.96,10.81,87
BN_N,53.335,7,3,0.5,1.45,1.96,14.007,56
BaTiO3_O,45.0,8,6,0.6,2.553333333,6.02,15.999,48
BiTe_Bi,13.0,83,6,0.5,3.25,8.12,208.9804,143
C1_C,35.0925,6,4,1.0,1.54,3.53,12.011,67
C2_C,58.9,6,3,1.0,1.42,2.07,12.011,67
CaO_O,58.0,8,6,0.5,2.4,3.35,15.999,48
CaTiO3_2_O,45.0,8,6,0.6,2.48,3.84,15.999,48
CaTiO3_Ca,82.0,20,8,0.2,2.51,4.03,40.078,194
CaTiO3_Ti,69.0,22,6,0.2,1.96,4.03,47.867,176
CaZrO3_Ca,21.0,20,12,0.2,2.94,4.14,40.078,194
CaZrO3_O,53.0,8,6,0.6,2.653333333,4.14,15.999,48
CaZrO3_Zr,9.3,40,6,0.2,2.08,4.14,91.224,206
CaZrTi2O7_Ca,18.0,20,8,0.090909091,2.515,4.3,40.078,194
CaZrTi2O7_O,45.0,8,4,0.636363636,2.238333333,4.3,15.999,48
CaZrTi2O7_Ti,15.0,22,6,0.181818182,2.0,4.3,47.867,176
CaZrTi2O7_Zr,7.8,40,7,0.090909091,2.2,4.3,91.224,206
CdS_Cd,7.3,48,4,0.5,2.55,4.7,112.414,161
CdS_S,9.0,16,4,0.5,2.55,4.7,32.06,88
CdSe_Cd,7.05,48,4,0.5,2.66,5.48,112.414,161
CdSe_Se,8.6,34,4,0.5,2.66,5.48,78.971,103
CdTe_Cd,5.6,48,4,0.5,2.84,5.64,112.414,161
CdTe_Te,7.8,52,4,0.5,2.84,5.64,127.6,123
Cd_Cd,14.4,48,12,1.0,3.18,8.65,112.414,161
CeO2_Ce,51.0,58,8,0.33,2.37,6.99,140.116,235
CeO2_O,33.0,8,4,0.67,2.37,6.99,15.999,48
Co_Co,25.9,27,12,1.0,2.47,8.9,58.933194,152
Cu3Au_Au,18.0,79,12,0.25,2.64,12.35,196.96657,174
Cu3Au_Cu,24.0,29,12,0.75,2.64,12.35,63.546,145
CuAu_Au,18.0,79,8,0.5,2.7,14.86,196.96657,174
CuAu_Cu,24.0,29,8,0.5,2.7,14.86,63.546,145
Cu_Cu,20.559393940000003,29,12,1.0,2.53,8.96,63.546,145
Fe0.85Cr0.15_Fe,18.0,26,12,0.94,2.43,7.85,55.845,156
Fe3B_Fe,22.0,26,3,0.75,2.25,7.54,55.845,156
Fe_Fe,23.777777776666667,26,8,1.0,2.48,7.874,55.845,156
GaAs_As,9.5,33,4,0.5,2.49,5.05,74.921595,114
GaN_Ga,19.0,31,4,0.5,1.96,6.08,69.723,136
GdBa2Cu3O7_Gd,150.0,64,8,0.08,2.44,6.78,157.25,233
Ge_Ge,17.25,32,4,1.0,2.46,5.323,72.63,125
Ir_Ir,46.0,77,12,1.0,2.73,22.56,192.217,180
La2Zr2O7_La,5.4,57,8,0.181818182,2.565,6.02,138.90547,240
La2Zr2O7_O,47.0,8,4,0.636363636,2.45125,6.02,15.999,48
La2Zr2O7_Zr,8.2,40,6,0.181818182,2.11,6.02,91.224,206
LiNbO3_O,53.0,8,3,0.6,2.1,4.39,15.999,48
Lu_Lu,17.0,71,12,1.0,3.46,9.841,174.9668,217
MgAl2O4_O,59.0,8,4,0.571428571,1.92,3.58,15.999,48
MgO_Mg,54.2,12,6,0.5,2.1,3.63,24.305,145
MgO_O,67.83333333333333,8,6,0.5,2.1,3.63,15.999,48
Mg_Mg,10.5833333325,12,12,1.0,3.17,1.738,24.305,145
MoSi2_Mo,36.0,42,10,0.33,2.61,6.29,95.95,190
MoSi2_Si,26.0,14,10,0.67,2.62,6.29,28.085,111
MoZr_Mo,34.0,42,8,1.0,2.74,10.02,95.95,190
Mo_Mo,31.5,42,8,1.0,2.74,10.28,95.95,190
Nb3Ge_Ge,15.0,32,12,0.25,2.89,8.44,72.63,125
Nb3Ge_Nb,19.0,41,6,0.75,2.79,8.44,92.90637,198
NbZr_Nb,28.0,41,8,1.0,2.87,8.45,92.90637,198
Nb_Nb,30.0,41,8,1.0,2.87,8.57,92.90637,198
Ni3Al_Al,30.0,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Ni,24.0,28,12,0.75,2.49,7.71,58.6934,149
NiAl10_Al,22.0,13,12,0.1,2.46,9.29,26.9815384,118
NiAl10_Ni,24.0,28,12,0.9,2.46,9.29,58.6934,149
NiAl6_Al,22.0,13,12,0.06,2.46,9.29,26.9815384,118
NiAl6_Ni,23.0,28,12,0.94,2.46,9.29,58.6934,149
Ni_Ni,23.0,28,12,1.0,2.46,8.908,58.6934,149
Pb_Pb,7.5,82,12,1.0,3.53,11.34,207.2,154
Pd_Pd,34.0,46,12,1.0,2.77,12.023,106.42,169
Pt_Pt,37.0,78,12,1.0,2.79,21.45,195.084,177
SiC_C,27.4,6,4,0.5,1.89,3.23,12.011,67
SiC_Si,74.5,14,4,0.5,1.89,3.23,28.085,111
SiO2_O,32.5,8,2,0.67,1.6,2.63,15.999,48
SiO2_Si,20.0,14,4,0.33,1.6,2.63,28.085,111
Si_Si,17.45,14,12,1.0,2.7,2.33,28.085,111
SmS_S,90.0,16,5,0.5,2.8,3.7,32.06,88
SmS_Sm,20.0,62,5,0.5,2.8,3.7,150.36,238
Sn_Sn,22.0,50,6,1.0,3.1,7.31,118.71,145
SrTiO3_O,45.0,8,6,0.6,2.5,5.0368915,15.999,48
TaC0.8_C,28.0,6,6,0.45,2.23,14.37,12.011,67
TaC0.8_Ta,32.0,73,6,0.65,2.23,14.37,180.94788,200
TaC_C,18.333333333333332,6,6,0.5,2.23,14.37,12.011,67
TaC_Ta,33.5,73,6,0.5,2.23,14.37,180.94788,200
TaS2_S,14.0,16,3,0.67,2.47,6.66,32.06,88
TaS3_Ta,16.0,73,8,0.25,2.53,5.88,180.94788,200
Ta_Ta,27.1,73,8,1.0,2.87,16.65,180.94788,200
Th_Th,35.0,90,12,1.0,3.57,11.724,232.0377,237
TiO2_O,39.0,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_Ti,49.16666667,22,6,0.333333333,1.96,4.24,47.867,176
Ti_Ti,23.433333333333334,22,14,1.0,2.99,4.507,47.867,176
UO2_O,20.0,8,4,0.67,2.36,11.06,15.999,48
UO2_U,40.0,92,8,0.33,2.36,11.06,238.02891,240
VZr_V,25.0,23,8,1.0,2.58,6.38,50.9415,171
V_V,30.165,23,8,1.0,2.58,6.11,50.9415,171
W_W,44.333333333333336,74,8,1.0,2.75,19.25,183.84,193
Y2Ti2O7_O,47.0,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_Ti,16.0,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Y,8.4,39,8,0.181818182,2.4075,4.97,88.905838,212
YSZ_O,120.0,8,4,0.66,2.2,6.21,15.999,48
YSZ_Y,80.0,39,8,0.04,2.2,6.21,88.905838,212
YSZ_Zr,80.0,40,8,0.3,2.2,6.21,91.224,206
ZnO_O,56.333333333333336,8,4,0.5,1.97,5.7,15.999,48
ZnO_Zn,52.333333333333336,30,4,0.5,1.97,5.7,65.38,142
ZnS_S,20.2,16,4,0.5,2.33,4.14,32.06,88
ZnS_Zn,9.9,30,4,0.5,2.33,4.14,65.38,142
ZnSe_Se,8.2,34,4,0.5,2.45,5.28,78.971,103
ZnSe_Zn,8.9,30,4,0.5,2.45,5.28,65.38,142
ZnTe_Te,6.7,52,4,0.5,2.65,5.62,127.6,123
ZnTe_Zn,7.175,30,4,0.5,2.65,5.62,65.38,142
Zn_Zn,11.85,30,12,1.0,2.87,7.14,65.38,142
Zr_Zr,24.5,40,12,1.0,3.22,6.511,91.224,206
