label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Ag_Ag,30.0,10,47,12,1.0,2.9,10.49,107.8682,165
Ag_Ag,28.0,20,47,12,1.0,2.9,10.49,107.8682,165
Ag_Ag,27.0,30,47,12,1.0,2.9,10.49,107.8682,165
Ag_Ag,24.0,7,47,12,1.0,2.9,10.49,107.8682,165
Ag_Ag,24.0,75,47,12,1.0,2.9,10.49,107.8682,165
Al2O3_Al,23.0,293,13,6,0.4,1.9141,3.98,26.9815384,118
Al2O3_Al,45.0,77,13,6,0.4,1.9141,3.98,26.9815384,118
Al2O3_O,61.5,293,8,4,0.6,1.9141,3.98,15.999,48
Al2O3_O,80.0,77,8,4,0.6,1.9141,3.98,15.999,48
Al_Al,16.0,10,13,12,1.0,2.86,2.7,26.9815384,118
Al_Al,32.0,20,13,12,1.0,2.86,2.7,26.9815384,118
Al_Al,16.0,4.2,13,12,1.0,2.86,2.7,26.9815384,118
Al_Al,19.0,8,13,12,1.0,2.86,2.7,26.9815384,118
Au_Au,34.5,10,79,12,1.0,2.95,19.3,196.96657,174
BaTiO3_O,45.0,293,8,6,0.6,2.553333333,6.02,15.999,48
BiTe_Bi,13.0,20,83,6,0.5,3.25,8.12,208.9804,143
C1_C,35.0,15,6,4,1.0,1.54,3.53,12.011,67
C1_C,43.37,293,6,4,1.0,1.54,3.53,12.011,67
CaO_O,58.0,293,8,6,0.5,2.4,3.35,15.999,48
CaTiO3_2_O,45.0,293,8,6,0.6,2.48,3.84,15.999,48
CaTiO3_Ca,82.0,300,20,8,0.2,2.51,4.03,40.078,194
CaTiO3_Ti,69.0,300,22,6,0.2,1.96,4.03,47.867,176
CaZrO3_Ca,21.0,293,20,12,0.2,2.94,4.14,40.078,194
CaZrO3_O,53.0,293,8,6,0.6,2.653333333,4.14,15.999,48
CaZrO3_Zr,9.3,293,40,6,0.2,2.08,4.14,91.224,206
CaZrTi2O7_Ca,18.0,293,20,8,0.090909091,2.515,4.3,40.078,194
CaZrTi2O7_O,45.0,293,8,4,0.636363636,2.238333333,4.3,15.999,48
CaZrTi2O7_Ti,15.0,293,22,6,0.181818182,2.0,4.3,47.867,176
CaZrTi2O7_Zr,7.8,293,40,7,0.090909091,2.2,4.3,91.224,206
CdS_Cd,7.3,293,48,4,0.5,2.55,4.7,112.414,161
CdS_S,9.0,293,16,4,0.5,2.55,4.7,32.06,88
CdSe_Cd,8.1,5,48,4,0.5,2.66,5.48,112.414,161
CdSe_Cd,6.0,77,48,4,0.5,2.66,5.48,112.414,161
CdSe_Se,8.6,5,34,4,0.5,2.66,5.48,78.971,103
CdSe_Se,8.6,77,34,4,0.5,2.66,5.48,78.971,103
CdTe_Cd,5.6,15,48,4,0.5,2.84,5.64,112.414,161
CdTe_Te,7.8,15,52,4,0.5,2.84,5.64,127.6,123
Cd_Cd,19.0,4.2,48,12,1.0,3.18,8.65,112.414,161
CeO2_Ce,51.0,650,58,8,0.33,2.37,6.99,140.116,235
CeO2_O,33.0,650,8,4,0.67,2.37,6.99,15.999,48
Co_Co,27.8,300,27,12,1.0,2.47,8.9,58.933194,152
Co_Co,24.0,7.2,27,12,1.0,2.47,8.9,58.933194,152
Cu3Au_Au,18.0,20,79,12,0.25,2.64,12.35,196.96657,174
Cu3Au_Cu,24.0,20,29,12,0.75,2.64,12.35,63.546,145
CuAu_Au,18.0,20,79,8,0.5,2.7,14.86,196.96657,174
CuAu_Cu,24.0,20,29,8,0.5,2.7,14.86,63.546,145
Cu_Cu,22.833333333333332,10,29,12,1.0,2.53,8.96,63.546,145
Cu_Cu,22.0,20,29,12,1.0,2.53,8.96,63.546,145
Cu_Cu,24.333333335,4.2,29,12,1.0,2.53,8.96,63.546,145
Cu_Cu,10.5,550,29,12,1.0,2.53,8.96,63.546,145
Cu_Cu,17.5,70,29,12,1.0,2.53,8.96,63.546,145
Fe0.85Cr0.15_Fe,18.0,773.15,26,12,0.94,2.43,7.85,55.845,156
Fe3B_Fe,22.0,21,26,3,0.75,2.25,7.54,55.845,156
Fe_Fe,24.0,20,26,8,1.0,2.48,7.874,55.845,156
Fe_Fe,25.0,25,26,8,1.0,2.48,7.874,55.845,156
Fe_Fe,22.33333333,5.5,26,8,1.0,2.48,7.874,55.845,156
GaAs_As,10.0,77,33,4,0.5,2.49,5.05,74.921595,114
GaN_Ga,19.0,293,31,4,0.5,1.96,6.08,69.723,136
Ge_Ge,20.0,293,32,4,1.0,2.46,5.323,72.63,125
Ge_Ge,14.5,300,32,4,1.0,2.46,5.323,72.63,125
Ir_Ir,46.0,35,77,12,1.0,2.73,22.56,192.217,180
La2Zr2O7_La,5.4,293,57,8,0.181818182,2.565,6.02,138.90547,240
La2Zr2O7_O,47.0,293,8,4,0.636363636,2.45125,6.02,15.999,48
La2Zr2O7_Zr,8.2,293,40,6,0.181818182,2.11,6.02,91.224,206
LiNbO3_O,53.0,288,8,3,0.6,2.1,4.39,15.999,48
Lu_Lu,17.0,4.15,71,12,1.0,3.46,9.841,174.9668,217
MgAl2O4_O,59.0,77,8,4,0.571428571,1.92,3.58,15.999,48
MgO_Mg,34.0,1000,12,6,0.5,2.1,3.63,24.305,145
MgO_Mg,62.0,293,12,6,0.5,2.1,3.63,24.305,145
MgO_Mg,61.0,300,12,6,0.5,2.1,3.63,24.305,145
MgO_O,51.0,1000,8,6,0.5,2.1,3.63,15.999,48
MgO_O,75.0,293,8,6,0.5,2.1,3.63,15.999,48
MgO_O,91.0,300,8,6,0.5,2.1,3.63,15.999,48
MgO_O,60.0,78,8,6,0.5,2.1,3.63,15.999,48
Mg_Mg,11.33333333,293,12,12,1.0,3.17,1.738,24.305,145
Mg_Mg,10.0,4.2,12,12,1.0,3.17,1.738,24.305,145
MoZr_Mo,34.0,4.5,42,8,1.0,2.74,10.02,95.95,190
Mo_Mo,34.0,107,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,34.0,149,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,33.0,199,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,37.0,20,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,32.0,246,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,30.0,297,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,27.0,300,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,36.0,4.2,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,28.0,496,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,27.0,668,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,34.0,69,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,26.0,800,42,8,1.0,2.74,10.28,95.95,190
Nb3Ge_Ge,15.0,20,32,12,0.25,2.89,8.44,72.63,125
Nb3Ge_Nb,19.0,20,41,6,0.75,2.79,8.44,92.90637,198
NbZr_Nb,28.0,4.5,41,8,1.0,2.87,8.45,92.90637,198
Nb_Nb,36.0,24,41,8,1.0,2.87,8.57,92.90637,198
Nb_Nb,24.0,300,41,8,1.0,2.87,8.57,92.90637,198
Ni3Al_Al,30.0,21,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Ni,24.0,21,28,12,0.75,2.49,7.71,58.6934,149
NiAl6_Al,22.0,21,13,12,0.06,2.46,9.29,26.9815384,118
NiAl6_Ni,23.0,21,28,12,0.94,2.46,9.29,58.6934,149
Ni_Ni,24.0,20,28,12,1.0,2.46,8.908,58.6934,149
Ni_Ni,22.0,23,28,12,1.0,2.46,8.908,58.6934,149
Pb_Pb,7.5,8-165,82,12,1.0,3.53,11.34,207.2,154
Pd_Pd,34.0,9,46,12,1.0,2.77,12.023,106.42,169
SiC_C,33.0,185,6,4,0.5,1.89,3.23,12.011,67
SiC_C,21.8,293,6,4,0.5,1.89,3.23,12.011,67
SiC_Si,97.0,220,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,25.0,293,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,110.0,890,14,4,0.5,1.89,3.23,28.085,111
SiO2_O,32.5,77,8,2,0.67,1.6,2.63,15.999,48
SiO2_Si,20.0,77,14,4,0.33,1.6,2.63,28.085,111
Si_Si,22.0,245,14,12,1.0,2.7,2.33,28.085,111
Si_Si,12.9,300,14,12,1.0,2.7,2.33,28.085,111
SmS_S,90.0,21,16,5,0.5,2.8,3.7,32.06,88
SmS_Sm,20.0,21,62,5,0.5,2.8,3.7,150.36,238
Sn_Sn,22.0,4.2,50,6,1.0,3.1,7.31,118.71,145
SrTiO3_O,45.0,293,8,6,0.6,2.5,5.0368915,15.999,48
TaC0.8_C,28.0,21,6,6,0.45,2.23,14.37,12.011,67
TaC0.8_Ta,32.0,21,73,6,0.65,2.23,14.37,180.94788,200
TaC_C,16.0,21,6,6,0.5,2.23,14.37,12.011,67
TaC_C,23.0,293,6,6,0.5,2.23,14.37,12.011,67
TaC_Ta,33.5,21,73,6,0.5,2.23,14.37,180.94788,200
TaS2_S,14.0,21,16,3,0.67,2.47,6.66,32.06,88
TaS3_Ta,16.0,21,73,8,0.25,2.53,5.88,180.94788,200
Ta_Ta,21.0,105,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,19.0,150,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,19.0,190,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,18.0,279,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,44.5,293,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,18.0,300,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,32.0,4.5,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,45.5,5,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,22.0,51,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,32.0,6,73,8,1.0,2.87,16.65,180.94788,200
Th_Th,35.0,10,90,12,1.0,3.57,11.724,232.0377,237
TiO2_O,39.0,293,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_Ti,49.16666667,293,22,6,0.333333333,1.96,4.24,47.867,176
Ti_Ti,19.0,293,22,14,1.0,2.99,4.507,47.867,176
UO2_O,20.0,293,8,4,0.67,2.36,11.06,15.999,48
UO2_U,40.0,293,92,8,0.33,2.36,11.06,238.02891,240
VZr_V,25.0,4.5,23,8,1.0,2.58,6.38,50.9415,171
V_V,26.0,20,23,8,1.0,2.58,6.11,50.9415,171
V_V,34.33,293,23,8,1.0,2.58,6.11,50.9415,171
W_W,50.0,30,74,8,1.0,2.75,19.25,183.84,193
W_W,40.0,4,74,8,1.0,2.75,19.25,183.84,193
Y2Ti2O7_O,47.0,293,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_Ti,16.0,293,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Y,8.4,293,39,8,0.181818182,2.4075,4.97,88.905838,212
YSZ_O,120.0,293,8,4,0.66,2.2,6.21,15.999,48
YSZ_Y,80.0,293,39,8,0.04,2.2,6.21,88.905838,212
YSZ_Zr,80.0,293,40,8,0.3,2.2,6.21,91.224,206
ZnO_O,57.0,293,8,4,0.5,1.97,5.7,15.999,48
ZnO_O,57.0,313.15,8,4,0.5,1.97,5.7,15.999,48
ZnO_Zn,57.0,313.15,30,4,0.5,1.97,5.7,65.38,142
ZnS_S,20.2,77,16,4,0.5,2.33,4.14,32.06,88
ZnS_Zn,9.9,77,30,4,0.5,2.33,4.14,65.38,142
ZnSe_Se,8.2,10,34,4,0.5,2.45,5.28,78.971,103
ZnSe_Se,8.2,85,34,4,0.5,2.45,5.28,78.971,103
ZnSe_Zn,7.8,10,30,4,0.5,2.45,5.28,65.38,142
ZnSe_Zn,10.0,85,30,4,0.5,2.45,5.28,65.38,142
ZnTe_Te,6.7,77,52,4,0.5,2.65,5.62,127.6,123
ZnTe_Zn,7.0,77,30,4,0.5,2.65,5.62,65.38,142
Zn_Zn,14.5,5,30,12,1.0,2.87,7.14,65.38,142
Zr_Zr,21.0,7.5,40,12,1.0,3.22,6.511,91.224,206
Zr_Zr,28.0,8,40,12,1.0,3.22,6.511,91.224,206
