label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Ag_Ag,22.0,47,12,1.0,2.9,10.49,107.8682,165
Al2O3_2_O,14.0,8,3,0.6,1.85918,3.867636319,15.999,48
Al2O3_Al,65.25,13,6,0.4,1.9141,3.98,26.9815384,118
Al2O3_O,40.65,8,4,0.6,1.9141,3.98,15.999,48
AlAs_Al,20.866666666666667,13,4,0.5,2.46,3.7,26.9815384,118
AlAs_As,17.966666666666665,33,4,0.5,2.46,3.7,74.921595,114
AlN_Al,94.0,13,4,0.5,1.9,3.2,26.9815384,118
AlN_N,39.0,7,4,0.5,1.9,3.2,14.007,56
Al_Al,15.666666666666666,13,12,1.0,2.86,2.7,26.9815384,118
Au_Au,36.0,79,12,1.0,2.95,19.3,196.96657,174
BN_B,18.28,5,3,0.5,1.45,1.96,10.81,87
BN_N,20.43,7,3,0.5,1.45,1.96,14.007,56
BaTiO3_Ba,64.0,56,12,0.2,2.83,6.02,137.327,253
BaTiO3_O,40.0,8,6,0.6,2.553333333,6.02,15.999,48
BaTiO3_Ti,97.0,22,6,0.2,2.0,6.02,47.867,176
Be_Be,28.0,4,12,1.0,2.24,1.848,9.0121831,112
C1_C,70.0,6,4,1.0,1.54,3.53,12.011,67
C2_C,22.426,6,3,1.0,1.42,2.07,12.011,67
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_Ca,0.7,20,1,0.21,2.264,3.32,40.078,194
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_F,0.3,9,1,0.05,2.264,3.32,18.99840316,42
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_Nd,1.1,60,1,0.01,2.264,3.32,144.242,206
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_O,0.9,8,1,0.57,2.264,3.32,15.999,48
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_P,2.6,15,4,0.12,2.264,3.32,30.973762,98
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_Pu,1.2,94,1,0.01,2.264,3.32,244.0,243
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2_Si,3.7,14,4,0.02,2.264,3.32,28.085,111
CaF2_Ca,23.0,20,8,0.5,2.39,3.09,40.078,194
CaF2_F,10.0,9,4,0.5,2.39,3.09,18.99840316,42
CaZrTi2O7_2_Ca,25.0,20,8,0.090909091,2.43,4.4346,40.078,194
CaZrTi2O7_2_O,15.0,8,4,0.636363636,2.18,4.4346,15.999,48
CaZrTi2O7_2_Ti,43.0,22,6,0.181818182,1.95,4.4346,47.867,176
CaZrTi2O7_2_Zr,48.0,40,7,0.090909091,2.16,4.4346,91.224,206
CeO2_Ce,54.315,58,8,0.33,2.37,6.99,140.116,235
CeO2_O,27.585,8,4,0.67,2.37,6.99,15.999,48
Co_Co,40.0,27,12,1.0,2.47,8.9,58.933194,152
Cr_Cr,60.0,24,8,1.0,2.57,7.19,51.9961,166
Cu3Au_Cu,27.0,29,12,0.75,2.64,12.35,63.546,145
CuAu_Au,22.0,79,8,0.5,2.7,14.86,196.96657,174
CuAu_Cu,47.3,29,8,0.5,2.7,14.86,63.546,145
CuTi_Cu,47.0,29,9,0.5,2.6,6.55,63.546,145
CuTi_Ti,78.0,22,5,0.5,2.6,6.55,47.867,176
Cu_Cu,29.7083333325,29,12,1.0,2.53,8.96,63.546,145
Er2O3_Er,71.5,68,6,0.4,2.25,8.89,167.259,226
Er2O3_O,86.67,8,4,0.6,2.25,8.89,15.999,48
Fe0.79Cr0.21_Cr,31.0,24,12,0.21,2.57,7.85,51.9961,166
Fe0.79Cr0.21_Fe,31.0,26,12,0.79,2.43,7.85,55.845,156
Fe0.82Cr0.18_Cr,31.0,24,12,0.18,2.57,7.85,51.9961,166
Fe0.82Cr0.18_Fe,31.0,26,12,0.82,2.43,7.85,55.845,156
Fe0.85Cr0.15_Cr,28.0,24,12,0.15,2.57,7.85,51.9961,166
Fe0.85Cr0.15_Fe,28.0,26,12,0.94,2.43,7.85,55.845,156
Fe0.88Cr0.12_Cr,30.0,24,12,0.12,2.57,7.85,51.9961,166
Fe0.88Cr0.12_Fe,30.0,26,12,0.88,2.43,7.85,55.845,156
Fe0.91Cr0.09_Cr,33.0,24,12,0.09,2.57,7.85,51.9961,166
Fe0.91Cr0.09_Fe,32.0,26,12,0.91,2.43,7.85,55.845,156
Fe0.94Cr0.06_Cr,30.0,24,12,0.06,2.57,7.85,51.9961,166
Fe0.94Cr0.06_Fe,29.0,26,12,0.94,2.43,7.85,55.845,156
Fe0.97Cr0.03_Cr,32.0,24,12,0.03,2.57,7.85,51.9961,166
Fe0.97Cr0.03_Fe,32.0,26,12,0.97,2.43,7.85,55.845,156
FeCr_Cr,18.0,24,12,0.5,2.57,7.85,51.9961,166
FeCr_Fe,17.0,26,12,0.5,2.43,7.85,55.845,156
FeCu_Cu,39.4,29,8,0.5,2.485,8.38,63.546,145
Fe_Fe,38.67078754607143,26,8,1.0,2.48,7.874,55.845,156
Ga2O3_Ga,28.0,31,5,0.4,2.01,5.89,69.723,136
Ga2O3_O,14.0,8,4,0.6,2.01,5.89,15.999,48
GaAs_As,13.200000000000001,33,4,0.5,2.49,5.05,74.921595,114
GaAs_Ga,15.775,31,4,0.5,2.49,5.05,69.723,136
