label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Ag_Ag,22.0,10,47,12,1.0,2.9,10.49,107.8682,165
Al2O3_2_O,14.0,293,8,3,0.6,1.85918,3.867636319,15.999,48
Al2O3_Al,91.0,293,13,6,0.4,1.9141,3.98,26.9815384,118
Al2O3_O,38.0,293,8,4,0.6,1.9141,3.98,15.999,48
AlAs_Al,18.6,0,13,4,0.5,2.46,3.7,26.9815384,118
AlAs_As,16.9,0,33,4,0.5,2.46,3.7,74.921595,114
AlN_Al,94.0,0,13,4,0.5,1.9,3.2,26.9815384,118
AlN_N,39.0,0,7,4,0.5,1.9,3.2,14.007,56
Al_Al,17.0,0,13,12,1.0,2.86,2.7,26.9815384,118
Al_Al,15.0,10,13,12,1.0,2.86,2.7,26.9815384,118
Au_Au,36.0,15,79,12,1.0,2.95,19.3,196.96657,174
BN_B,17.2,293,5,3,0.5,1.45,1.96,10.81,87
BN_N,17.8,293,7,3,0.5,1.45,1.96,14.007,56
BaTiO3_Ba,64.0,300,56,12,0.2,2.83,6.02,137.327,253
BaTiO3_O,40.0,300,8,6,0.6,2.553333333,6.02,15.999,48
BaTiO3_Ti,97.0,300,22,6,0.2,2.0,6.02,47.867,176
Be_Be,35.0,300,4,12,1.0,2.24,1.848,9.0121831,112
C2_C,31.13,0,6,3,1.0,1.42,2.07,12.011,67
C2_C,19.0,600,6,3,1.0,1.42,2.07,12.011,67
CaZrTi2O7_2_Ca,25.0,0,20,8,0.090909091,2.43,4.4346,40.078,194
CaZrTi2O7_2_O,15.0,0,8,4,0.636363636,2.18,4.4346,15.999,48
CaZrTi2O7_2_Ti,43.0,0,22,6,0.181818182,1.95,4.4346,47.867,176
CaZrTi2O7_2_Zr,48.0,0,40,7,0.090909091,2.16,4.4346,91.224,206
CeO2_Ce,52.63,100,58,8,0.33,2.37,6.99,140.116,235
CeO2_Ce,56.0,30,58,8,0.33,2.37,6.99,140.116,235
CeO2_O,28.17,100,8,4,0.67,2.37,6.99,15.999,48
CeO2_O,27.0,30,8,4,0.67,2.37,6.99,15.999,48
Cu3Au_Cu,27.0,0,29,12,0.75,2.64,12.35,63.546,145
CuAu_Au,22.0,0,79,8,0.5,2.7,14.86,196.96657,174
CuAu_Cu,47.3,0,29,8,0.5,2.7,14.86,63.546,145
Cu_Cu,21.5,10,29,12,1.0,2.53,8.96,63.546,145
Er2O3_Er,71.5,293,68,6,0.4,2.25,8.89,167.259,226
Er2O3_O,86.67,293,8,4,0.6,2.25,8.89,15.999,48
Fe0.79Cr0.21_Cr,31.0,300,24,12,0.21,2.57,7.85,51.9961,166
Fe0.79Cr0.21_Fe,31.0,300,26,12,0.79,2.43,7.85,55.845,156
Fe0.82Cr0.18_Cr,31.0,300,24,12,0.18,2.57,7.85,51.9961,166
Fe0.82Cr0.18_Fe,31.0,300,26,12,0.82,2.43,7.85,55.845,156
Fe0.85Cr0.15_Cr,28.0,300,24,12,0.15,2.57,7.85,51.9961,166
Fe0.85Cr0.15_Fe,28.0,300,26,12,0.94,2.43,7.85,55.845,156
Fe0.88Cr0.12_Cr,30.0,300,24,12,0.12,2.57,7.85,51.9961,166
Fe0.88Cr0.12_Fe,30.0,300,26,12,0.88,2.43,7.85,55.845,156
Fe0.91Cr0.09_Cr,33.0,300,24,12,0.09,2.57,7.85,51.9961,166
Fe0.91Cr0.09_Fe,32.0,300,26,12,0.91,2.43,7.85,55.845,156
Fe0.94Cr0.06_Cr,30.0,300,24,12,0.06,2.57,7.85,51.9961,166
Fe0.94Cr0.06_Fe,29.0,300,26,12,0.94,2.43,7.85,55.845,156
Fe0.97Cr0.03_Cr,32.0,300,24,12,0.03,2.57,7.85,51.9961,166
Fe0.97Cr0.03_Fe,32.0,300,26,12,0.97,2.43,7.85,55.845,156
FeCr_Cr,18.0,36,24,12,0.5,2.57,7.85,51.9961,166
FeCr_Fe,17.0,36,26,12,0.5,2.43,7.85,55.845,156
FeCu_Cu,39.4,0,29,8,0.5,2.485,8.38,63.546,145
Fe_Fe,40.125,0,26,8,1.0,2.48,7.874,55.845,156
Fe_Fe,18.0,10,26,8,1.0,2.48,7.874,55.845,156
Fe_Fe,40.0,300,26,8,1.0,2.48,7.874,55.845,156
Fe_Fe,38.46153846153846,36,26,8,1.0,2.48,7.874,55.845,156
Fe_Fe,57.0,500,26,8,1.0,2.48,7.874,55.845,156
Ga2O3_Ga,28.0,0,31,5,0.4,2.01,5.89,69.723,136
Ga2O3_O,14.0,0,8,4,0.6,2.01,5.89,15.999,48
GaAs_As,14.3,0,33,4,0.5,2.49,5.05,74.921595,114
GaAs_Ga,14.05,0,31,4,0.5,2.49,5.05,69.723,136
GaN_Ga,73.2,100,31,4,0.5,1.96,6.08,69.723,136
GaN_N,32.4,100,7,4,0.5,1.96,6.08,14.007,56
Gd2Ti2O7_Gd,84.0,30,64,8,0.18,2.44,6.56,157.25,233
Gd2Ti2O7_Gd,84.0,300,64,8,0.18,2.44,6.56,157.25,233
Gd2Ti2O7_O,52.0,30,8,4,0.64,2.24,6.56,15.999,48
Gd2Ti2O7_O,52.0,300,8,4,0.64,2.24,6.56,15.999,48
Gd2Ti2O7_Ti,205.0,30,22,6,0.18,1.97,6.56,47.867,176
Gd2Ti2O7_Ti,205.0,300,22,6,0.18,1.97,6.56,47.867,176
Gd2Zr2O7_Gd,72.0,30,64,8,0.18,2.48,6.84,157.25,233
Gd2Zr2O7_Gd,72.0,300,64,8,0.18,2.48,6.84,157.25,233
