label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
AlAs_Al,20.866666666666667,13,4,0.5,2.46,3.7,26.9815384,118
AlAs_As,17.966666666666665,33,4,0.5,2.46,3.7,74.921595,114
BiTe_Bi,13.0,83,6,0.5,3.25,8.12,208.9804,143
CdS_Cd,7.3,48,4,0.5,2.55,4.7,112.414,161
CdS_S,9.0,16,4,0.5,2.55,4.7,32.06,88
CdSe_Cd,7.05,48,4,0.5,2.66,5.48,112.414,161
CdSe_Se,8.6,34,4,0.5,2.66,5.48,78.971,103
CdTe_Cd,5.6,48,4,0.5,2.84,5.64,112.414,161
CdTe_Te,7.8,52,4,0.5,2.84,5.64,127.6,123
GaAs_As,11.72,33,4,0.5,2.49,5.05,74.921595,114
GaAs_Ga,15.775,31,4,0.5,2.49,5.05,69.723,136
GaN_Ga,52.55,31,4,0.5,1.96,6.08,69.723,136
GaN_N,57.800000000000004,7,4,0.5,1.96,6.08,14.007,56
ZnS_S,20.2,16,4,0.5,2.33,4.14,32.06,88
ZnS_Zn,9.9,30,4,0.5,2.33,4.14,65.38,142
ZnSe_Se,8.2,34,4,0.5,2.45,5.28,78.971,103
ZnSe_Zn,8.9,30,4,0.5,2.45,5.28,65.38,142
ZnTe_Te,6.7,52,4,0.5,2.65,5.62,127.6,123
ZnTe_Zn,7.175,30,4,0.5,2.65,5.62,65.38,142
